Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,4 days,Less than 2 months,Love it,Love these !,5.0,5.0,4.0
2,5.0,5 days,Less than 2 months,"tasty, guilt free!",Was so relieved to find a tobacco/nicotine free vaping options as I phase them out of my life.,5.0,3.0,4.0
3,5.0,6 days,Less than 2 months,Flum,My wife has really enjoyed these,5.0,5.0,5.0
4,5.0,6 days,Less than 2 months,I love it,Love this.. I truly don’t miss the nicotine at all. :),5.0,3.0,3.0
5,1.0,11 days,Less than 2 months,Didn't like the flavor,Too perfume like,1.0,1.0,4.0
6,5.0,12 days,Less than 2 months,Cool,Cool,5.0,5.0,5.0
7,5.0,12 days,Less than 2 months,good,excelent,4.0,4.0,4.0
8,4.0,21 days,Less than 2 months,goooooood,!!!!,5.0,5.0,5.0
9,5.0,22 days,Less than 2 months,The only place I will order vapes!!,"These vapes are the best, and the fastest shipping!! This is the only place I'll order from!!",5.0,5.0,5.0
10,5.0,25 days,Less than 2 months,Good vape,I like it!,4.0,3.0,4.0
11,5.0,26 days,Less than 2 months,Title,Good,5.0,5.0,5.0
12,5.0,26 days,Less than 2 months,Great,This was better than expected. It had great flavor and totally satisfies the urge.,5.0,3.0,4.0
13,5.0,28 days,Less than 2 months,Excellent flavor,Nice strong flavor. I got the ice flavors and the one I've tried is lemon ice. Tastes just like trix cereal to me. Does have a nice menthol hit with it. Im not sure about longevity yet.,5.0,5.0,4.0
14,5.0,30 days,Less than 2 months,Amazing,Tastes kinda like cotton candy bubblegum!,5.0,5.0,5.0
15,5.0,1 month,Less than 2 months,Tangerine Guava,Great flavor tastes like Guava Citrus version of the 5%,5.0,4.0,4.0
16,4.0,1 month,Less than 2 months,zero nic,not bad but doesn’t have a throat hit like the normal,3.0,2.0,3.0
17,3.0,1 month,Less than 2 months,Would buy again,"Good flavor, lasted a decent amount of time",4.0,4.0,3.0
18,5.0,1 month,Less than 2 months,She loves it!!,She loves it!!😜,5.0,5.0,5.0
19,5.0,1 month,Less than 2 months,Good flavor,Nice flavor,5.0,5.0,3.0
20,5.0,2 months,Less than 2 months,Nice,Amazing flavor,5.0,4.0,4.0
21,5.0,2 months,Less than 2 months,Great product.,Worth buying.,3.0,3.0,4.0
22,5.0,2 months,Less than 2 months,Very good,Very good vape. Sweet and no nicotine in it.,5.0,5.0,4.0
23,5.0,2 months,Less than 2 months,Vape,For no nicotine its great,5.0,4.0,5.0
24,4.0,3 months,3 months to 5 months ago,Not bad for no nicotine,Didn’t really love the flavor but for no nicotine it’s surprisingly still satisfying,3.0,5.0,3.0
25,5.0,3 months,3 months to 5 months ago,Cute and convenient,I like this one. The pull is great and the flavor is balanced. Not too sweet and not tart. It's small and discrete. I didn't even have to charge it for a week.,5.0,3.0,5.0
26,2.0,3 months,3 months to 5 months ago,Too sweet,Too sweet,2.0,5.0,3.0
27,3.0,3 months,3 months to 5 months ago,A little too sweet,"Like the production, just a little too sweet for me",3.0,5.0,5.0
28,5.0,3 months,3 months to 5 months ago,Good taste,Good taste,5.0,5.0,5.0
29,5.0,3 months,3 months to 5 months ago,Fun vape since no nic,"Great vape, smooth and last awhile!",5.0,5.0,5.0
30,5.0,3 months,3 months to 5 months ago,Great!,mint is great for people who want that throat hit from a 0 nic vape,4.0,4.0,4.0
31,5.0,3 months,3 months to 5 months ago,Amazing,"the flavor is great, I did wish flums lasted longer though compared to other rechargeable devices",4.0,4.0,3.0
32,3.0,3 months,3 months to 5 months ago,Eh…,I wanted to like these but they are just too sweet and the flavor is a little overpowering.,3.0,5.0,4.0
