Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,1.0,Nic5,This one dies so fast all the time but I loveeee the flavor,5.0,5.0,2.0
2,5.0,Good flavor,"Easy to use, good flavor",5.0,5.0,5.0
3,5.0,Great,GREAT,5.0,5.0,5.0
4,2.0,Not a favorite,Strange flavor,2.0,1.0,1.0
5,5.0,a great flavor from nic5,overall one of my favorite flavors,5.0,3.0,3.0
6,5.0,snowboarding go to,one of my favorites to hit in the cold,4.0,3.0,3.0
7,2.0,Its ok,Didn't last long,2.0,5.0,1.0
8,4.0,not bad,good flavor,4.0,4.0,4.0
9,4.0,good product,decent device not the best not bad,4.0,4.0,4.0
10,3.0,Lychee,I got lychee flavored but other brand has more real flavor!,4.0,4.0,3.0
11,5.0,Works great,Great,5.0,5.0,5.0
12,5.0,Great flavors,"I really like the Nic5 Vapor Opus, the flavor lasted a long time . I will definitely buy again!",5.0,4.0,4.0
13,4.0,Good,Good flavor lasts long,4.0,5.0,4.0
14,3.0,Fake sugar,"The mint flavor is just okay, tastes like fake sugar. Make sure you brush your teeth after using it",3.0,5.0,4.0
15,5.0,Yummy,It does not last as long like the Flum,5.0,5.0,3.0
16,3.0,"Good, not great.","Great flavor, hits smooth, but really short lifespan. The Ice Mint was really tasty",5.0,3.0,3.0
17,1.0,Meh,"Really weak, doesn’t last long. Flavor is not as good",2.0,1.0,1.0
18,5.0,Aloe mango,Only vapes I’ll smoke. Chefs kiss 🙄,,,
19,5.0,Love this!,"Lasted a while for me, convient and good flavor! Will buy more!",,,
20,5.0,flavour on point,but does not last long,,,
21,5.0,The reason I stopped smoking!,"I have been a smoker for 20+ years. I have tried many different vape types and flavors over the years, but never cared for any of them. Earlier this year, my son brought home one of the Opus Ice Mint vapes. I was hooked.
It didn’t happen overnight, but my cigarette smoking started decreasing until I have now kicked the habit for good.
I only like the Ice Mint flavor. I have tried the other Opus flavors and have not cared for them. I’m sure it is because I was a menthol smoker.
Anyways, long story short, I am thankful for these.",,,
22,5.0,Like it,Smooth flavor great,,,
23,3.0,Meh,Maybe it’s the flavor but I’m not a fan.,,,
24,5.0,Nic 5 ❤️,Love this brand. Bold flavors,,,
25,5.0,Love it,My favorite thus far,,,
26,5.0,Great Flavor,Short use but very good flavor,,,
27,5.0,Good Flavor,Short life but very good flavor,,,
28,4.0,Great cola flavor,This was a very good cola flavor. Still not my very favorite but was pretty darn good. All the prices for vapes from huff puffers are very reasonable. I do wish this one had lasted longer but was worth the money,,,
29,5.0,Yes,yes,,,
30,5.0,Good,Good flavor!,,,
31,3.0,It was decent,Not to bad,,,
32,5.0,My favorite!,These are my wife and I favorite disposable vapes on the market to date. Best tasting and best hits,,,
33,5.0,#2 of my favorites,This flavor and quality is amazing. Has a true vanilla ice cream flavor that is truly unique. Been looking for this flavor everywhere for my refillables...,,,
34,5.0,Very good vape,Taste very minty love vape,,,
35,5.0,Delicious,Bursting with flavor,,,
36,5.0,Best flavor,One of the best products so far. Flavor last from beginning to the end,,,
37,5.0,Bomb!,Like the 4th time getting this pen and it just doesn’t get old!,,,
38,5.0,Fire!,Great flavor!,,,
39,5.0,Great flavor!,My partners go to pen!,,,
40,5.0,Great flavor!,Bomb!,,,
41,5.0,good vape,good vape,,,
42,5.0,Go to flavor,My girlfriends go to flavor and it’s fire!,,,
43,4.0,Not quite cola taste,Fun look,,,
44,5.0,Best mint flavor,Best flavor of any disposable I have tried,,,
45,5.0,Nic5 Ice Mint,Love this store!!! Always have what I need.,,,
46,5.0,My go-to!,smooth! hits well.. flavor is amazing!,,,
47,5.0,Icymint,Tasty smooth bomb,,,
48,5.0,Sweet mint,"Pros
Hands down the best flavor.
The smooth pull of all disposables
Battery last long time
Cons
It’s amazing but I have noticed these require more care than flum as two of mine just start firing on their own.
It runs of fast!!!!!",,,
49,4.0,good taste,"flavor was there, wish it lasted longer, worth trying.",,,
50,5.0,Sleek & colorful,"Unique looking, colorful and good flavor, wish they had more puffs. Hopefully soon!",,,
51,3.0,Sometimes good sometimes bad,I love the flavor profile of these vapes it’s probably one of my favorite disposables. When it works well it lasts about 3 days for me. However sometimes when I get a bad battery it dies within 3-5 hours right after I open a fresh box. Kills the mood whenever that happens especially at a music festival or rave.,,,
52,5.0,Awesome!!,This Here E-Cig Hit The Spot. I Got That Strong Menthol Hit Right From The Start! Definetly My Favorite! I Recommend! 👍,,,
53,5.0,Strawberry ice cream,Excellent produce great taste,,,
